fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,delivery_status,actual_delivery_date,delay_reason,delivery_partner
FUL_000043,ORD_000043,Sharjah Hub,Zone B,2025-10-16 18:19:34,Failed,2025-10-18 18:19:34,,SpeedLink
FUL_000044,ORD_000044,Sharjah Hub,Zone A,2025-12-19 12:21:28,Delayed,2025-12-26 12:21:28,Customer Unavailable,FastTrack
FUL_000045,ORD_000045,Dubai Hub,Zone B,2025-10-22 15:00:09,Delayed,2025-10-26 15:00:09,Warehouse Delay,SpeedLink
FUL_000046,ORD_000046,Abu Dhabi Hub,Zone A,2025-10-18 00:38:17,On Time,2025-10-18 00:38:17,,QuickShip
FUL_000047,ORD_000047,Dubai Hub,Zone F,2025-10-30 13:27:25,Delayed,2025-11-06 13:27:25,Traffic/Weather,FastTrack
FUL_000048,ORD_000048,Abu Dhabi Hub,Zone E,2025-12-03 07:57:31,Delayed,2025-12-06 07:57:31,Rider Unavailable,SpeedLink
FUL_000049,ORD_000049,Dubai Hub,Zone A,2025-10-11 14:28:14,Pending,,,QuickShip
FUL_000050,ORD_000050,Dubai Hub,Zone E,2025-12-30 22:37:35,On Time,2025-12-30 22:37:35,,FastTrack
FUL_000051,ORD_000051,Sharjah Hub,Zone C,2025-10-29 16:19:15,On Time,2025-10-28 16:19:15,,QuickShip
FUL_000052,ORD_000052,Sharjah Hub,Zone D,2025-11-04 15:15:48,On Time,2025-11-04 15:15:48,,QuickShip
FUL_000053,ORD_000053,Abu Dhabi Hub,Zone C,2025-12-21 19:52:39,On Time,2025-12-20 19:52:39,,QuickShip
FUL_000054,ORD_000054,Dubai Hub,Zone B,2025-12-12 11:18:24,On Time,2025-12-12 11:18:24,,SpeedLink
FUL_000055,ORD_000055,Sharjah Hub,Zone A,2025-12-06 06:36:11,On Time,2025-12-05 06:36:11,,FastTrack
FUL_000056,ORD_000056,Sharjah Hub,Zone A,2025-12-23 00:18:13,On Time,2025-12-23 00:18:13,,QuickShip
FUL_000057,ORD_000057,Sharjah Hub,Zone B,2025-11-13 00:22:06,Delayed,2025-11-15 00:22:06,Warehouse Delay,SpeedLink
FUL_000058,ORD_000058,Dubai Hub,Zone D,2025-12-12 16:37:55,On Time,2025-12-11 16:37:55,,QuickShip
FUL_000059,ORD_000059,Dubai Hub,Zone C,2025-12-09 02:14:12,On Time,2025-12-09 02:14:12,,FastTrack
FUL_000060,ORD_000060,Abu Dhabi Hub,Zone C,2025-11-23 17:09:30,On Time,2025-11-23 17:09:30,,SpeedLink
FUL_000061,ORD_000061,Sharjah Hub,Zone F,2025-10-29 15:11:00,On Time,2025-10-29 15:11:00,,SpeedLink
FUL_000062,ORD_000062,Dubai Hub,Zone D,2026-01-04 02:23:45,On Time,2026-01-03 02:23:45,,FastTrack
FUL_000063,ORD_000063,Abu Dhabi Hub,Zone D,2025-12-01 14:05:11,Delayed,2025-12-06 14:05:11,Warehouse Delay,SpeedLink
FUL_000064,ORD_000064,Dubai Hub,Zone C,2026-01-02 20:55:10,On Time,2026-01-01 20:55:10,,FastTrack
FUL_000065,ORD_000065,Dubai Hub,Zone C,2025-11-13 12:24:49,Failed,2025-11-15 12:24:49,,QuickShip
FUL_000066,ORD_000066,Dubai Hub,Zone D,2025-11-06 03:49:39,On Time,2025-11-06 03:49:39,,SpeedLink
FUL_000067,ORD_000067,Dubai Hub,Zone F,2025-11-27 10:19:56,On Time,2025-11-26 10:19:56,,FastTrack
FUL_000068,ORD_000068,Sharjah Hub,Zone A,2025-12-02 17:48:52,on-time,2025-12-01 17:48:52,,SpeedLink
FUL_000069,ORD_000069,Dubai Hub,Zone A,2025-11-28 03:57:17,Delayed,2025-12-01 03:57:17,Address Issue,SpeedLink
FUL_000070,ORD_000070,Dubai Hub,Zone A,2025-12-29 16:21:20,On Time,2025-12-29 16:21:20,,SpeedLink
FUL_000071,ORD_000071,Dubai Hub,Zone A,2025-12-19 05:15:01,Delayed,2025-12-21 05:15:01,Rider Unavailable,SpeedLink
FUL_000072,ORD_000072,Sharjah Hub,Zone B,2025-12-29 21:10:41,On Time,2025-12-29 21:10:41,,FastTrack
FUL_000073,ORD_000073,Dubai Hub,Zone C,2025-12-12 18:32:13,Delayed,2025-12-19 18:32:13,Rider Unavailable,QuickShip
FUL_000074,ORD_000074,Dubai Hub,Zone A,2025-10-22 12:42:44,On Time,2025-10-22 12:42:44,,QuickShip
FUL_000075,ORD_000075,Abu Dhabi Hub,Zone F,2025-12-17 02:46:54,On Time,2025-12-16 02:46:54,,SpeedLink
FUL_000076,ORD_000076,Dubai Hub,Zone B,2025-12-12 02:39:22,On Time,2025-12-11 02:39:22,,QuickShip
FUL_000077,ORD_000077,Abu Dhabi Hub,Zone B,2025-10-19 04:51:03,Delayed,2025-10-20 04:51:03,Customer Unavailable,QuickShip
FUL_000078,ORD_000078,Dubai Hub,Zone B,2026-01-04 21:42:48,Delayed,2026-01-08 21:42:48,Warehouse Delay,FastTrack
FUL_000079,ORD_000079,Abu Dhabi Hub,Zone D,2025-11-14 10:05:16,On Time,2025-11-13 10:05:16,,SpeedLink
FUL_000080,ORD_000080,Sharjah Hub,Zone C,2025-12-18 04:39:26,On Time,2025-12-17 04:39:26,,SpeedLink
FUL_000081,ORD_000081,Abu Dhabi Hub,Zone D,2025-12-17 13:26:51,On Time,2025-12-17 13:26:51,,SpeedLink
FUL_000082,ORD_000082,Dubai Hub,Zone C,2025-11-25 19:01:35,On Time,2025-11-25 19:01:35,,SpeedLink
FUL_000083,ORD_000083,Sharjah Hub,Zone C,2025-11-23 22:12:04,Delayed,2025-11-29 22:12:04,Address Issue,FastTrack
FUL_000084,ORD_000084,Sharjah Hub,Zone D,2025-11-24 04:07:39,Pending,,,SpeedLink
FUL_000085,ORD_000085,Sharjah Hub,Zone A,2025-12-19 18:10:27,On Time,2025-12-19 18:10:27,,QuickShip
FUL_000086,ORD_000086,Dubai Hub,Zone F,2025-12-15 19:36:49,On Time,2025-12-14 19:36:49,,QuickShip
FUL_000087,ORD_000087,Dubai Hub,Zone B,2025-11-28 10:25:37,On Time,2025-11-28 10:25:37,,SpeedLink
FUL_000088,ORD_000088,Abu Dhabi Hub,Zone E,2025-12-29 09:05:58,On Time,2025-12-28 09:05:58,,FastTrack
FUL_000089,ORD_000089,Abu Dhabi Hub,Zone D,2025-11-28 20:29:40,Delayed,2025-11-30 20:29:40,Customer Unavailable,SpeedLink
FUL_000090,ORD_000090,Abu Dhabi Hub,Zone B,2025-11-22 14:57:03,Delayed,2025-11-26 14:57:03,Rider Unavailable,FastTrack
FUL_000091,ORD_000091,Abu Dhabi Hub,Zone B,2025-11-10 14:58:30,OnTime,2025-11-10 14:58:30,,FastTrack
FUL_000092,ORD_000092,Abu Dhabi Hub,Zone A,2025-11-22 19:11:40,On Time,2025-11-22 19:11:40,,QuickShip
FUL_000093,ORD_000093,Sharjah Hub,Zone C,2025-11-13 14:50:02,Pending,,,FastTrack
FUL_000094,ORD_000094,Dubai Hub,Zone E,2025-10-22 23:12:48,On Time,2025-10-21 23:12:48,,QuickShip
FUL_000095,ORD_000095,Dubai Hub,Zone F,2025-11-09 03:40:00,Delayed,2025-11-13 03:40:00,Rider Unavailable,SpeedLink
FUL_000096,ORD_000096,Abu Dhabi Hub,Zone B,2026-01-03 01:13:19,On Time,2026-01-02 01:13:19,,QuickShip
FUL_000097,ORD_000097,Dubai Hub,Zone A,2025-12-28 14:26:57,On Time,2025-12-27 14:26:57,,FastTrack
FUL_000098,ORD_000098,Dubai Hub,Zone B,2025-12-30 17:34:31,Delayed,2026-01-06 17:34:31,Traffic/Weather,FastTrack
FUL_000099,ORD_000099,Abu Dhabi Hub,Zone E,2025-10-17 04:50:05,Delayed,2025-10-20 04:50:05,Address Issue,QuickShip
FUL_000100,ORD_000100,Dubai Hub,,2025-11-16 23:42:58,On Time,2025-11-16 23:42:58,,FastTrack
FUL_000101,ORD_000101,Dubai Hub,Zone F,2025-12-08 09:40:32,On Time,2025-12-08 09:40:32,,SpeedLink
FUL_000102,ORD_000102,Abu Dhabi Hub,Zone A,2025-12-18 10:09:00,Failed,2025-12-21 10:09:00,,SpeedLink
FUL_000103,ORD_000103,Abu Dhabi Hub,Zone A,2025-11-30 08:11:29,Delayed,2025-12-01 08:11:29,Customer Unavailable,SpeedLink
FUL_000104,ORD_000104,Dubai Hub,Zone D,2025-10-28 10:59:05,Delayed,2025-11-03 10:59:05,Address Issue,SpeedLink
FUL_000105,ORD_000105,Sharjah Hub,Zone F,2025-12-06 11:02:49,On Time,2025-12-05 11:02:49,,SpeedLink
FUL_000106,ORD_000106,Abu Dhabi Hub,Zone C,2025-12-15 20:43:02,Failed,2025-12-18 20:43:02,,SpeedLink
FUL_000107,ORD_000107,Dubai Hub,Zone C,2025-12-02 08:51:17,On Time,2025-12-01 08:51:17,,SpeedLink
FUL_000108,ORD_000108,Abu Dhabi Hub,Zone A,2025-12-08 08:53:47,Delayed,2025-12-09 08:53:47,Customer Unavailable,SpeedLink
FUL_000109,ORD_000109,Abu Dhabi Hub,Zone A,2025-12-15 23:39:51,On Time,2025-12-15 23:39:51,,FastTrack
FUL_000110,ORD_000110,Dubai Hub,Zone A,2025-12-30 11:40:38,Delayed,2025-12-31 11:40:38,Customer Unavailable,QuickShip
FUL_000111,ORD_000111,Dubai Hub,Zone B,2026-01-02 01:06:05,On Time,2026-01-01 01:06:05,,QuickShip
FUL_000112,ORD_000112,Abu Dhabi Hub,Zone A,2026-01-07 22:52:41,On Time,2026-01-07 22:52:41,,FastTrack
FUL_000113,ORD_000113,Dubai Hub,Zone E,2025-12-19 08:09:16,Delayed,2025-12-21 08:09:16,Customer Unavailable,FastTrack
FUL_000114,ORD_000114,Dubai Hub,Zone A,2025-10-17 20:32:07,On Time,2025-10-17 20:32:07,,SpeedLink
FUL_000115,ORD_000115,Dubai Hub,Zone F,2025-12-14 21:24:34,On Time,2025-12-14 21:24:34,,SpeedLink
FUL_000116,ORD_000116,Dubai Hub,Zone D,2025-11-09 17:33:25,On Time,2025-11-09 17:33:25,,QuickShip
FUL_000117,ORD_000117,Abu Dhabi Hub,Zone D,2025-12-18 09:08:44,Delayed,2025-12-21 09:08:44,Rider Unavailable,SpeedLink
FUL_000118,ORD_000118,Dubai Hub,Zone A,2025-12-31 18:14:46,Pending,,,FastTrack
FUL_000119,ORD_000119,Sharjah Hub,Zone A,2025-11-14 08:29:34,On Time,2025-11-13 08:29:34,,SpeedLink
FUL_000120,ORD_000120,Dubai Hub,Zone A,2025-12-13 22:43:43,On Time,2025-12-13 22:43:43,,QuickShip
FUL_000121,ORD_000121,Abu Dhabi Hub,Zone F,2025-11-30 06:19:53,On Time,2025-11-29 06:19:53,,QuickShip
FUL_000122,ORD_000122,Abu Dhabi Hub,Zone D,2025-12-22 20:08:58,On Time,2025-12-21 20:08:58,,QuickShip
FUL_000123,ORD_000123,Abu Dhabi Hub,Zone D,2025-10-23 20:04:00,Delayed,2025-10-26 20:04:00,Rider Unavailable,QuickShip
FUL_000124,ORD_000124,Abu Dhabi Hub,Zone C,2025-12-13 19:15:12,Delayed,2025-12-18 19:15:12,Address Issue,SpeedLink
FUL_000125,ORD_000125,Dubai Hub,Zone B,2025-12-10 05:11:02,On Time,2025-12-09 05:11:02,,QuickShip
FUL_000126,ORD_000126,Dubai Hub,Zone E,2025-11-13 00:13:16,On Time,2025-11-13 00:13:16,,FastTrack
FUL_000127,ORD_000127,Dubai Hub,Zone C,2025-11-15 18:06:50,Delayed,2025-11-22 18:06:50,Warehouse Delay,FastTrack
FUL_000128,ORD_000128,Dubai Hub,Zone A,2026-01-05 01:36:44,Delayed,2026-01-07 01:36:44,Address Issue,QuickShip
FUL_000129,ORD_000129,Dubai Hub,Zone D,2025-12-09 14:57:06,Failed,2025-12-12 14:57:06,,FastTrack
FUL_000130,ORD_000130,Dubai Hub,Zone C,2026-01-05 08:47:46,On Time,2026-01-04 08:47:46,,SpeedLink
FUL_000131,ORD_000131,Sharjah Hub,Zone F,2025-10-31 09:14:22,On Time,2025-10-30 09:14:22,,SpeedLink
FUL_000132,ORD_000132,Dubai Hub,Zone E,2025-11-02 01:12:04,Delayed,2025-11-06 01:12:04,Warehouse Delay,QuickShip
FUL_000133,ORD_000133,Abu Dhabi Hub,Zone B,2026-01-05 11:11:26,On Time,2026-01-05 11:11:26,,FastTrack
FUL_000134,ORD_000134,Abu Dhabi Hub,Zone E,2025-12-07 19:39:54,Delayed,2025-12-08 19:39:54,Address Issue,QuickShip
FUL_000135,ORD_000135,Abu Dhabi Hub,Zone E,2025-11-19 05:55:33,Delayed,2025-11-21 05:55:33,Warehouse Delay,SpeedLink
FUL_000136,ORD_000136,Dubai Hub,Zone E,2025-12-26 09:18:09,On Time,2025-12-26 09:18:09,,SpeedLink
FUL_000137,ORD_000137,Dubai Hub,Zone D,2025-11-29 13:13:35,Pending,,,FastTrack
FUL_000138,ORD_000138,Abu Dhabi Hub,Zone D,2025-10-17 05:38:42,On Time,2025-10-17 05:38:42,,FastTrack
FUL_000139,ORD_000139,Sharjah Hub,Zone F,2026-01-05 12:13:57,On Time,2026-01-05 12:13:57,,QuickShip
FUL_000140,ORD_000140,Abu Dhabi Hub,Zone B,2025-11-03 17:39:14,On Time,2025-11-03 17:39:14,,FastTrack
FUL_000141,ORD_000141,Dubai Hub,Zone C,2025-10-11 22:59:09,On Time,2025-10-10 22:59:09,,SpeedLink
FUL_000142,ORD_000142,Sharjah Hub,Zone D,2025-12-06 21:37:08,Failed,2025-12-10 21:37:08,,FastTrack
FUL_000143,ORD_000143,Sharjah Hub,Zone E,2025-10-28 17:40:24,On Time,2025-10-28 17:40:24,,SpeedLink
FUL_000144,ORD_000144,Sharjah Hub,Zone A,2025-12-02 03:12:27,On Time,2025-12-01 03:12:27,,QuickShip
FUL_000145,ORD_000145,Abu Dhabi Hub,Zone D,2025-12-26 08:59:43,On Time,2025-12-25 08:59:43,,FastTrack
FUL_000146,ORD_000146,Dubai Hub,Zone A,2025-10-14 08:09:54,On Time,2025-10-13 08:09:54,,SpeedLink
FUL_000147,ORD_000147,Dubai Hub,Zone F,2025-10-29 17:01:15,Delayed,2025-11-02 17:01:15,Warehouse Delay,QuickShip
FUL_000148,ORD_000148,Dubai Hub,Zone D,2025-12-28 20:11:06,Delayed,2025-12-30 20:11:06,Address Issue,FastTrack
FUL_000149,ORD_000149,Sharjah Hub,Zone C,2025-12-27 07:01:32,Delayed,2026-01-03 07:01:32,Traffic/Weather,FastTrack
FUL_000150,ORD_000150,Abu Dhabi Hub,Zone A,2025-11-27 00:34:45,Failed,2025-11-30 00:34:45,,QuickShip
FUL_000151,ORD_000151,Abu Dhabi Hub,Zone E,2026-01-01 07:43:38,On Time,2026-01-01 07:43:38,,SpeedLink
FUL_000152,ORD_000152,Dubai Hub,Zone F,2025-12-23 06:30:44,On Time,2025-12-22 06:30:44,,QuickShip
FUL_000153,ORD_000153,Dubai Hub,Zone B,2025-10-31 14:04:10,On Time,2025-10-30 14:04:10,,FastTrack
FUL_000154,ORD_000154,Sharjah Hub,Zone B,2026-01-04 17:34:53,On Time,2026-01-03 17:34:53,,SpeedLink
FUL_000155,ORD_000155,Dubai Hub,Zone F,2025-11-19 15:45:49,On Time,2025-11-18 15:45:49,,QuickShip
FUL_000156,ORD_000156,Abu Dhabi Hub,Zone A,2025-11-11 09:30:45,On Time,2025-11-11 09:30:45,,SpeedLink
FUL_000157,ORD_000157,Dubai Hub,Zone F,2025-11-30 16:15:44,Failed,2025-12-02 16:15:44,,FastTrack
FUL_000158,ORD_000158,Abu Dhabi Hub,Zone E,2025-10-22 12:44:58,Delayed,2025-10-23 12:44:58,Traffic/Weather,QuickShip
FUL_000159,ORD_000159,Abu Dhabi Hub,Zone E,2025-11-30 05:43:10,On Time,2025-11-30 05:43:10,,QuickShip
FUL_000160,ORD_000160,Dubai Hub,Zone C,2025-11-09 17:42:00,On Time,2025-11-08 17:42:00,,QuickShip
FUL_000161,ORD_000161,Dubai Hub,Zone C,2025-11-04 13:07:00,Delayed,2025-11-06 13:07:00,Traffic/Weather,FastTrack
FUL_000162,ORD_000162,Sharjah Hub,Zone A,2025-12-25 04:53:36,On Time,2025-12-24 04:53:36,,FastTrack
FUL_000163,ORD_000163,Dubai Hub,Zone C,2025-12-15 03:52:23,On Time,2025-12-14 03:52:23,,FastTrack
FUL_000164,ORD_000164,Dubai Hub,Zone A,2025-12-03 00:51:50,On Time,2025-12-03 00:51:50,,SpeedLink
FUL_000165,ORD_000165,Dubai Hub,Zone D,2025-10-30 02:11:18,On Time,2025-10-30 02:11:18,,QuickShip
FUL_000166,ORD_000166,Dubai Hub,Zone E,2025-10-21 05:15:42,On Time,2025-10-20 05:15:42,,SpeedLink
FUL_000167,ORD_000167,Abu Dhabi Hub,Zone D,2025-12-11 14:22:21,Failed,2025-12-15 14:22:21,,QuickShip
FUL_000168,ORD_000168,Abu Dhabi Hub,Zone B,2025-12-21 12:03:12,On Time,2025-12-20 12:03:12,,FastTrack
FUL_000169,ORD_000169,Dubai Hub,Zone A,2025-11-16 21:08:40,On Time,2025-11-15 21:08:40,,FastTrack
FUL_000170,ORD_000170,Abu Dhabi Hub,Zone B,2025-12-01 04:43:38,Delayed,2025-12-05 04:43:38,Address Issue,FastTrack
FUL_000171,ORD_000171,Abu Dhabi Hub,Zone E,2025-12-12 00:19:04,On Time,2025-12-11 00:19:04,,QuickShip
FUL_000172,ORD_000172,Dubai Hub,Zone C,2025-12-16 08:15:03,On Time,2025-12-16 08:15:03,,SpeedLink
FUL_000173,ORD_000173,Dubai Hub,Zone A,2025-12-07 14:55:00,On Time,2025-12-06 14:55:00,,QuickShip
FUL_000174,ORD_000174,Dubai Hub,Zone A,2025-11-20 19:48:45,On Time,2025-11-19 19:48:45,,SpeedLink
FUL_000175,ORD_000175,Abu Dhabi Hub,Zone F,2025-12-26 09:22:58,Failed,2025-12-30 09:22:58,,SpeedLink
FUL_000176,ORD_000176,Sharjah Hub,Zone E,2025-11-16 18:23:03,Delayed,2025-11-20 18:23:03,Traffic/Weather,QuickShip
FUL_000177,ORD_000177,Sharjah Hub,Zone C,2025-11-23 14:30:42,Pending,,,SpeedLink
FUL_000178,ORD_000178,Abu Dhabi Hub,Zone C,2025-11-26 23:27:39,On Time,2025-11-25 23:27:39,,FastTrack
FUL_000179,ORD_000179,Dubai Hub,Zone A,2025-10-22 13:44:26,Delayed,2025-10-26 13:44:26,Warehouse Delay,QuickShip
FUL_000180,ORD_000180,Abu Dhabi Hub,Zone E,2025-11-19 09:32:38,Pending,,,FastTrack
FUL_000181,ORD_000181,Sharjah Hub,Zone C,2025-11-21 08:38:53,On Time,2025-11-20 08:38:53,,SpeedLink
FUL_000182,ORD_000182,Abu Dhabi Hub,Zone B,2025-10-19 13:36:14,On Time,2025-10-18 13:36:14,,SpeedLink
FUL_000183,ORD_000183,Dubai Hub,Zone A,2025-10-12 08:36:51,On Time,2025-10-11 08:36:51,,QuickShip
FUL_000184,ORD_000184,Dubai Hub,Zone C,2025-10-26 20:38:14,On Time,2025-10-26 20:38:14,,SpeedLink
FUL_000185,ORD_000185,Dubai Hub,Zone F,2025-11-29 14:52:27,On Time,2025-11-29 14:52:27,,SpeedLink
FUL_000186,ORD_000186,Sharjah Hub,Zone C,2025-10-27 10:55:22,On Time,2025-10-26 10:55:22,,SpeedLink
FUL_000187,ORD_000187,Dubai Hub,Zone A,2025-12-25 19:17:32,On Time,2025-12-24 19:17:32,,SpeedLink
FUL_000188,ORD_000188,Dubai Hub,Zone E,2025-12-16 16:43:57,On Time,2025-12-15 16:43:57,,QuickShip
FUL_000189,ORD_000189,Abu Dhabi Hub,Zone D,2026-01-05 17:20:36,On Time,2026-01-04 17:20:36,,FastTrack
FUL_000190,ORD_000190,Dubai Hub,Zone C,2025-11-28 18:17:25,On Time,2025-11-28 18:17:25,,QuickShip
FUL_000191,ORD_000191,Dubai Hub,Zone A,2025-11-13 01:19:43,Failed,2025-11-15 01:19:43,,SpeedLink
FUL_000192,ORD_000192,Dubai Hub,Zone F,2025-11-20 19:29:33,On Time,2025-11-19 19:29:33,,FastTrack
FUL_000193,ORD_000193,Sharjah Hub,Zone B,2025-12-31 12:59:18,On Time,2025-12-30 12:59:18,,QuickShip
FUL_000194,ORD_000194,Abu Dhabi Hub,Zone C,2025-12-22 10:01:18,On Time,2025-12-21 10:01:18,,QuickShip
FUL_000195,ORD_000195,Sharjah Hub,Zone E,2025-12-13 07:41:00,Delayed,2025-12-17 07:41:00,Customer Unavailable,SpeedLink
FUL_000196,ORD_000196,Dubai Hub,Zone B,2025-10-15 03:22:33,On Time,2025-10-14 03:22:33,,FastTrack
FUL_000197,ORD_000197,Dubai Hub,Zone C,2025-12-15 16:53:35,On Time,2025-12-14 16:53:35,,SpeedLink
FUL_000198,ORD_000198,Abu Dhabi Hub,Zone E,2025-11-21 22:20:27,On Time,2025-11-20 22:20:27,,SpeedLink
FUL_000199,ORD_000199,Abu Dhabi Hub,Zone E,2025-10-22 11:43:02,On Time,2025-10-22 11:43:02,,SpeedLink
FUL_000200,ORD_000200,Dubai Hub,Zone B,2025-11-03 22:06:39,On Time,2025-11-02 22:06:39,,QuickShip
FUL_000201,ORD_000201,Dubai Hub,Zone E,2026-01-02 09:27:18,Pending,,,SpeedLink
FUL_000202,ORD_000202,Abu Dhabi Hub,Zone D,2025-10-16 04:05:10,on-time,2025-10-15 04:05:10,,FastTrack
FUL_000203,ORD_000203,Sharjah Hub,Zone E,2025-12-27 06:15:54,On Time,2025-12-26 06:15:54,,FastTrack
FUL_000204,ORD_000204,Sharjah Hub,Zone F,2025-12-09 18:27:56,Failed,2025-12-14 18:27:56,,FastTrack
FUL_000205,ORD_000205,Dubai Hub,Zone B,2025-11-15 05:28:28,On Time,2025-11-14 05:28:28,,QuickShip
FUL_000206,ORD_000206,Sharjah Hub,Zone A,2025-10-28 00:48:54,Delayed,2025-10-30 00:48:54,Address Issue,QuickShip
